name,province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT
,16,"18,522","66,201","16,229","19,532","4,976","2,662","7,395","7,585",21,4.242702,6,5,3,"1,661","1,608","5,285","2,489",244,55,44,"2,452",345,959,2,16,"6,603",36,8,794,"1,873","6,068",170,"1,145","6,260","6,345","1,043",9,12,2,392,244
,95,"18,790","67,416","15,844","20,298","2,878","5,936","7,318","7,760",16,6.365105,1,0,21,621,"1,596","3,373","1,086",152,55,68,"5,785",299,"1,221",29,186,"3,408",70,37,"3,866","3,200","4,608",555,"3,803",505,"9,695",436,3,13,0,368,163
,34,"15,689","67,425","22,898","22,939","2,210","1,238","15,894","4,185",75,1.953637,2,0,0,902,470,371,865,78,42,42,"1,126",113,846,14,4,"15,392",71,1,482,"1,324","2,878",147,623,"5,072","5,648",86,18,57,0,11,93
,40,"16,221","68,720","20,570","20,568","2,230","1,080","10,413","7,977",56,1.800612,16,6,0,929,"1,032","1,033",595,162,65,46,868,276,317,42,9,"9,730",23,4,667,"2,093","5,273","1,341","1,403","6,365","7,044",87,18,38,0,32,348
,91,"19,226","68,910","18,799","21,521","2,281","8,442","8,282","6,802",10,9.405168,0,14,0,868,309,"4,277","1,162","2,379",168,203,"5,948",47,"1,546",13,9,"7,900",18,0,396,"3,219","4,187",17,"7,280","1,674","9,490",166,0,10,0,139,43
,36,"18,018","69,213","22,664","22,763","4,202","4,813","9,543","6,798",37,2.819936,1,0,0,"1,528","1,093","1,067","1,937",527,23,46,"4,288",286,160,18,4,"8,704",70,2,825,"1,218","4,336","1,666","2,519","6,414","6,963",193,6,31,0,33,39
,60,"19,596","70,566","19,347","20,681","2,968","3,198","9,452","7,274",31,2.978156,0,8,0,726,885,808,"1,558",128,168,220,"2,900",386,483,14,0,"8,193",22,0,"1,301","1,757","5,110","1,110","2,911","4,609","5,024",355,19,12,0,259,516
,38,"20,854","76,184","22,683","25,569","14,865","3,224","6,778","5,102",15,8.715259,0,23,0,"13,861","5,645","8,766",432,75,64,73,"3,120",300,713,23,0,"6,479",46,0,278,"1,613","3,433",483,"1,925","9,841","9,394",280,4,11,0,40,375
,63,"25,049","87,469","25,909","27,848","6,061","9,067","14,790","6,462",61,8.306414,0,9,3,"3,710","2,328","6,927",856,"3,879",864,"1,007","5,203",258,"2,399",52,17,"9,959",18,9,"5,895","1,919","3,856","1,294","5,632","10,025","10,175","1,048",27,34,1,149,329
,84,"26,267","88,879","10,359","13,802","3,250","5,449","3,842","3,926",26,2.461368,3,1,1,"1,046",836,"4,571","1,557",448,862,939,"4,595",454,"1,694",51,28,"3,497",17,8,307,"1,310","2,540",493,"6,018","2,579","5,114",681,19,8,4,412,236
,41,"22,360","92,828","27,988","28,202","7,497","3,166","13,414","7,753",36,2.737917,7,29,1,"6,362",678,"3,852",732,135,73,340,"2,953",306,"1,275",41,4,"12,719",52,0,710,"2,670","4,475","1,229","2,868","7,888","8,831",116,12,24,0,76,267
,33,"22,089","93,616","33,788","35,950","6,123","5,263","22,208","6,010",94,3.750167,11,24,3,"3,265","1,626","1,501","1,615",451,131,173,"4,791",346,735,33,7,"19,718",106,9,"2,554","2,042","2,704","1,787","5,514","11,704","12,263",573,59,35,1,114,468
,30,"35,343","109,357","32,067","34,457","8,376","5,435","7,304","16,656",61,2.006094,7,11,0,"1,776","1,732","3,197","5,113",249,57,102,"5,117",372,645,63,10,"5,653",99,1,"1,566","3,636","12,744","1,441","4,608","10,286","10,206",648,19,42,1,141,222
,57,"31,392","110,492","43,648","40,744","7,502","4,325","20,199","14,511",79,5.184638,3,4,2,"3,202","2,522","2,459","2,557",755,601,471,"3,048","1,259","1,859",829,2,"11,615",53,18,"9,225","4,350","10,738",588,"7,190","14,755","10,610",599,28,54,4,389,919
,50,"37,911","126,758","46,977","50,243","9,365","5,090","25,331","18,316",93,5.105192,4,8,10,"3,520","3,863","2,023","3,135",630,639,"1,611","3,142",693,"1,565",40,19,"7,398",57,19,"18,440","4,622","14,442",451,"2,481","16,017","14,703",617,35,58,1,63,341
,31,"30,585","128,142","35,347","39,722","5,861","6,823","22,222","9,685",115,3.767936,9,14,0,"2,145","2,594","1,600","1,679",584,554,359,"6,014",680,"1,058",152,40,"20,514",193,16,"1,635","3,227","5,862","1,623","5,713","10,693","10,987",550,35,80,7,68,616
,80,"50,961","163,828","28,146","39,238","7,035","13,522","8,930","17,436",60,4.338044,2,5,11,"1,463","2,654","10,064","3,685","1,218",273,222,"12,309",873,"1,918",85,43,"7,803",36,29,"1,123","4,810","11,547","2,683","14,474","7,442","15,159","2,795",33,27,1,"1,141",459
